,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T
0,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.31285182812611856,0.13223011122230194,300
1,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.36234932452144253,0.5648460791643891,300
2,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5079160191796439,0.181389893966657,300
3,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.04482560781626276,0.656055624746844,300
4,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.25561356043067673,0.5543322047459112,300
5,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.35088249337167193,0.22747113656561746,300
6,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6110003541578212,0.021937472252550234,300
7,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.14910846645266945,0.5047220846285827,300
8,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.29289921416503806,0.27581772354868755,300
9,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.31762313583404067,0.31714663541865634,300
10,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6950668088272408,0.10895113543923018,300
11,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.0758611088352826,0.4235338501732748,300
12,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.13984190901977758,0.1134652485945738,300
13,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.42379196389011065,0.44092714379765574,300
14,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.32323539118879463,0.2616054642072798,300
15,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.4219189626595587,0.5672947810051606,300
16,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.25574117220805315,0.2866206130488094,300
17,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.343004454017814,0.36335123456752444,300
18,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45511594693038687,0.05323650906436119,300
19,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.056166067824990465,0.7883096047669053,300
20,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.2722838731606364,0.28611090416592505,300
21,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.3935391510202754,0.3517366467084702,300
22,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.6933061184182759,0.27038466563035235,300
23,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.19544836078211372,0.3731022839944589,300
24,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.7067596716461952,0.0818741511182328,300
25,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.29413434061329874,0.35813277838539853,300
26,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5223709136561602,0.2506145873707552,300
27,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.16562104926153795,0.40993070662192854,300
28,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.01556802482483104,0.269928081768457,300
29,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.5086388404986005,0.39289498364244146,300
30,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.36714334971963314,0.1655927140387761,300
31,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26908210303633917,0.5005451399288364,300
