Unnamed: 0,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T,ismisc
0,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.312851828,0.132230111,300,1
1,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.362349325,0.564846079,300,1
2,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.507916019,0.181389894,300,1
3,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.044825608,0.656055625,300,1
4,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.25561356,0.554332205,300,1
5,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.350882493,0.227471137,300,1
6,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.611000354,0.021937472,300,1
7,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.149108466,0.504722085,300,1
8,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.292899214,0.275817724,300,1
9,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.317623136,0.317146635,300,1
10,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.695066809,0.108951135,300,1
11,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.075861109,0.42353385,300,1
12,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.139841909,0.113465249,300,1
13,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.423791964,0.440927144,300,1
14,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.323235391,0.261605464,300,1
15,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.421918963,0.567294781,300,1
16,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.255741172,0.286620613,300,1
17,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.343004454,0.363351235,300,1
18,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.455115947,0.053236509,300,1
19,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.056166068,0.788309605,300,1
20,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.272283873,0.286110904,300,1
21,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.393539151,0.351736647,300,1
22,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.693306118,0.270384666,300,1
23,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.195448361,0.373102284,300,1
24,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.706759672,0.081874151,300,1
25,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.294134341,0.358132778,300,1
26,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.522370914,0.250614587,300,1
27,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.165621049,0.409930707,300,1
28,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.015568025,0.269928082,300,1
29,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.50863884,0.392894984,300,1
30,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.36714335,0.165592714,300,1
31,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.269082103,0.50054514,300,1
32,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.433604299,0.343217666,300,1
33,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.232702999,0.321968797,300,1
34,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.594264644,0.125701947,300,1
35,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.00908402,0.535105874,300,1
36,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.230261268,0.005406754,300,1
37,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.453818053,0.535041089,300,1
38,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.444641131,0.252423844,300,1
39,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.262987064,0.474624541,300,1
40,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.327752233,0.13005066,300,1
41,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.371127997,0.444624821,300,1
42,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.437146542,0.150810378,300,1
43,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.18785458,0.697390456,300,1
44,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.089937504,0.47808199,300,1
45,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.415453198,0.274660087,300,1
46,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.730411743,0.095775023,300,1
47,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.167711842,0.433543966,300,1
48,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.463290433,0.121425487,300,1
49,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.286266444,0.441094954,300,1
50,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.631076852,0.321644936,300,1
51,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.075203918,0.382725049,300,1
52,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.130160473,0.243612438,300,1
53,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.435462233,0.355758316,300,1
54,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.375651662,0.096764911,300,1
55,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.269161622,0.604852105,300,1
56,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.15816016,0.239420349,300,1
57,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.484797177,0.368283507,300,1
58,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.49981574,0.036519647,300,1
59,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.135921707,0.565392192,300,1
60,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.12912846,0.694743764,300,1
61,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.380579011,0.321932015,300,1
62,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.48408196,0.285266663,300,1
63,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.280235273,0.413835183,300,1
64,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.403248112,0.34164638,300,1
